Block	CountA	CountB	SNVs	Haplotype
481	2	2	match	match
482	5	5	match	match
483	2	2	match	match
484	3	3	match	match
485	2	2	match	match
486	2	2	match	match
487	2	2	match	match
488	2	2	match	match
489	2	2	match	-
490	3	3	match	match
491	2	2	match	match
492	2	2	match	-
493	6	6	match	match
494	2	2	match	match
495	3	3	match	match
496	2	2	match	match
497	6	6	match	match
498	2	2	match	match
499	3	3	match	match
500	2	2	match	match
501	2	2	match	match
502	8	8	match	match
503	3	3	match	match
504	4	4	match	match
505	2	2	match	match
506	3	3	match	match
507	2	2	match	match
508	2	2	match	match
509	2	2	match	match
510	4	4	match	-
511	4	4	match	match
512	5	5	match	match
513	2	2	match	match
514	5	5	match	match
515	2	2	match	match
516	5	5	match	match
517	2	2	match	match
518	2	2	match	match
519	3	3	match	-
520	3	3	match	match
521	3	3	match	match
522	2	2	match	match
523	2	2	match	match
524	2	2	match	match
525	3	3	match	match
526	3	3	match	match
527	2	2	match	match
528	2	2	match	match
529	2	2	match	match
530	7	7	match	-
531	2	2	match	match
532	2	2	match	match
533	10	10	match	match
534	2	2	match	match
535	3	3	match	match
536	2	2	match	match
537	2	2	match	match
538	2	2	match	match
539	2	2	match	match
540	2	2	match	match
541	7	7	match	match
542	6	6	match	match
543	3	3	match	match
544	7	7	match	match
545	4	4	match	match
546	6	6	match	match
547	2	2	match	match
548	2	2	match	match
549	2	2	match	match
550	4	4	match	match
551	2	2	match	match
552	2	2	match	match
553	2	2	match	match
554	3	3	match	match
555	2	2	match	match
556	2	2	match	match
557	3	3	match	match
558	2	2	match	match
559	3	3	match	match
560	3	3	match	match
561	2	2	match	match
562	2	2	match	match
563	2	2	match	match
564	2	2	match	match
565	2	2	match	match
566	2	2	match	match
567	3	3	match	match
568	2	2	match	match
569	2	2	match	match
570	2	2	match	match
571	2	2	match	match
572	2	2	match	-
573	2	2	match	match
574	2	2	match	match
575	3	3	match	match
576	5	5	match	match
577	2	2	match	match
578	2	2	match	match
579	2	2	match	match
580	2	2	match	match
581	3	3	match	match
582	2	2	match	match
583	2	2	match	match
584	11	11	match	match
585	2	2	match	match
586	4	4	match	match
587	3	3	match	match
588	3	3	match	match
589	2	2	match	match
590	2	2	match	match
591	2	2	match	match
592	4	4	match	match
593	5	5	match	match
594	4	4	match	match
595	2	2	match	match
596	2	2	match	match
597	2	2	match	match
598	2	2	match	match
599	2	2	match	match
600	4	4	match	match
601	11	11	match	match
602	3	3	match	match
603	2	2	match	match
604	2	2	match	match
605	2	2	match	match
606	4	4	match	match
607	3	3	match	match
608	2	2	match	match
609	2	2	match	match
610	2	2	match	match
611	2	2	match	match
612	2	2	match	match
613	3	3	match	match
614	2	2	match	match
615	2	2	match	match
616	3	3	match	match
617	4	4	match	match
618	3	3	match	match
619	2	2	match	match
620	2	2	match	match
621	3	3	match	match
622	4	4	match	match
623	3	3	match	match
624	2	2	match	match
625	3	3	match	match
626	2	2	match	match
627	17	17	match	match
628	3	3	match	match
629	6	6	match	match
630	3	3	match	match
631	2	2	match	match
632	2	2	match	match
633	3	3	match	match
634	2	2	match	match
635	3	3	match	match
636	2	2	match	match
637	2	2	match	match
638	2	2	match	match
639	2	2	match	match
640	2	2	match	match
641	4	4	match	match
642	5	5	match	match
643	2	2	match	match
644	2	2	match	match
645	2	2	match	match
646	3	3	match	match
647	2	2	match	match
648	2	2	match	match
649	2	2	match	match
650	6	6	match	match
651	7	7	match	match
652	2	2	match	match
653	3	3	match	match
654	2	2	match	match
655	2	2	match	match
656	2	2	match	match
657	3	3	match	match
658	6	6	match	match
659	5	5	match	match
660	2	2	match	match
661	2	2	match	match
662	3	3	match	match
663	2	2	match	match
664	2	2	match	match
665	4	4	match	match
666	4	4	match	match
667	2	2	match	match
668	2	2	match	match
669	2	2	match	match
670	5	5	match	match
671	2	2	match	match
672	3	3	match	match
673	2	2	match	match
674	4	4	match	match
675	7	7	match	match
676	3	3	match	match
677	6	6	match	match
678	5	5	match	match
679	4	4	match	match
680	2	2	match	match
681	2	2	match	match
682	2	2	match	match
683	3	3	match	-
684	2	2	match	match
685	2	1	-	-
686	4	4	match	match
687	5	5	match	match
688	8	8	match	match
689	2	2	match	match
690	2	2	match	match
691	3	3	match	match
692	2	2	match	match
693	2	2	match	match
694	8	8	match	match
695	2	2	match	match
696	2	2	match	match
697	4	4	match	match
698	2	2	match	match
699	2	2	match	match
700	2	2	match	match
701	4	4	match	match
702	2	2	match	match
703	2	2	match	match
704	3	3	match	match
705	2	2	match	match
706	2	2	match	match
707	2	2	match	match
708	2	2	match	match
709	2	2	match	match
710	2	2	match	match
711	2	2	match	match
712	3	3	match	match
713	2	2	match	match
714	6	6	match	match
715	10	10	match	match
716	10	10	match	match
717	4	4	match	match
718	3	3	match	match
719	4	4	match	match
720	3	3	match	match
721	4	4	match	match
722	4	4	match	match
723	5	5	match	match
724	2	2	match	match
725	3	3	match	match
726	3	3	match	match
727	6	6	match	match
728	29	29	match	-
729	2	2	match	match
730	2	2	match	match
731	2	2	match	match
732	3	3	match	match
733	3	3	match	match
734	5	5	match	match
735	3	3	match	match
736	2	2	match	match
737	3	3	match	match
738	3	3	match	match
739	4	4	match	match
740	3	3	match	match
741	2	2	match	match
742	2	2	match	match
743	2	2	match	match
744	2	2	match	match
745	3	3	match	match
746	2	2	match	match
747	2	2	match	match
748	2	2	match	match
749	4	4	match	-
750	2	2	match	match
751	2	2	match	match
752	2	2	match	match
753	3	3	match	match
754	2	2	match	match
755	2	2	match	match
756	2	2	match	match
757	3	3	match	match
758	2	2	match	match
759	2	2	match	match
760	4	4	match	match
761	31	31	match	-
762	2	2	match	match
763	4	4	match	match
764	5	5	match	match
765	3	3	match	match
766	3	3	match	match
767	38	38	match	-
768	10	10	match	match
769	13	13	match	match
770	2	2	match	match
771	2	2	match	match
772	9	9	match	match
773	6	6	match	match
774	3	3	match	match
775	3	3	match	match
776	2	2	match	match
777	2	2	match	match
778	2	2	match	match
779	2	2	match	match
780	3	3	match	match
781	2	2	match	match
782	4	4	match	match
783	6	6	match	match
784	5	5	match	match
785	2	2	match	match
786	2	2	match	match
787	2	2	match	match
788	2	2	match	match
789	14	14	match	-
790	3	3	match	match
791	3	3	match	match
792	2	2	match	match
793	3	3	match	match
794	2	2	match	match
795	3	3	match	match
796	5	5	match	-
797	2	2	match	match
798	2	2	match	match
799	3	3	match	match
800	3	3	match	match
801	7	7	match	match
802	4	4	match	match
803	10	10	match	match
804	2	2	match	match
805	6	6	match	match
806	2	2	match	match
807	2	2	match	match
808	2	2	match	match
809	3	3	match	match
810	5	5	match	match
811	3	3	match	-
812	3	3	match	match
813	4	4	match	match
814	2	2	match	match
815	2	2	match	match
816	2	2	match	match
817	2	2	match	match
818	2	2	match	match
819	2	2	match	match
820	2	2	match	match
821	2	2	match	match
822	4	4	match	-
823	3	3	match	match
824	9	9	match	match
825	3	3	match	match
826	2	2	match	match
827	4	4	match	match
828	3	3	match	match
829	22	22	match	match
830	8	8	match	-
831	2	2	match	match
832	2	2	match	match
