Block	CountA	CountB	SNVs	Haplotype
596	2	1	-	-
597	4	3	-	-
598	11	8	-	-
599	3	2	-	-
600	2	2	match	match
601	2	1	-	-
602	2	2	match	-
603	4	3	-	-
604	3	2	-	-
605	2	1	-	-
606	2	1	-	-
607	2	1	-	-
608	2	1	-	-
609	2	2	match	match
610	3	1	-	-
611	2	2	match	-
612	2	2	match	match
613	3	2	-	-
614	4	3	-	-
615	3	3	match	-
616	2	2	match	-
617	2	1	-	-
618	3	2	-	-
619	4	3	-	-
620	3	2	-	-
621	2	1	-	-
622	3	2	-	-
623	2	1	-	-
624	17	16	-	-
625	3	2	-	-
626	6	6	match	-
627	3	3	match	match
628	2	1	-	-
629	2	1	-	-
630	3	3	match	-
631	2	1	-	-
632	3	2	-	-
633	2	2	match	match
634	2	0	-	-
635	2	1	-	-
636	2	1	-	-
637	2	2	match	-
638	4	3	-	-
639	5	4	-	-
640	2	1	-	-
641	2	1	-	-
642	2	1	-	-
643	3	3	match	-
644	2	1	-	-
645	2	1	-	-
646	2	1	-	-
647	6	5	-	-
648	7	5	-	-
649	2	1	-	-
650	3	2	-	-
651	2	1	-	-
652	2	1	-	-
653	2	1	-	-
654	3	2	-	-
655	6	5	-	-
656	5	5	match	match
657	2	1	-	-
658	2	2	match	match
659	3	2	-	-
660	2	1	-	-
661	2	1	-	-
662	4	3	-	-
663	4	4	match	-
664	2	1	-	-
665	2	1	-	-
666	2	1	-	-
667	5	3	-	-
668	2	2	match	-
669	3	1	-	-
670	2	2	match	match
671	3	2	-	-
672	7	6	-	-
673	3	3	match	-
674	6	6	match	match
675	5	4	-	-
676	4	2	-	-
677	2	2	match	match
678	2	1	-	-
679	2	1	-	-
680	3	2	-	-
681	2	1	-	-
682	2	0	-	-
683	4	3	-	-
684	5	5	match	match
685	8	7	-	-
686	2	1	-	-
687	2	1	-	-
688	3	2	-	-
689	2	1	-	-
690	2	2	match	match
691	8	6	-	-
692	2	1	-	-
693	2	2	match	-
694	4	3	-	-
695	2	1	-	-
696	2	1	-	-
697	2	1	-	-
698	4	4	match	-
699	2	1	-	-
700	2	1	-	-
701	3	2	-	-
702	2	2	match	-
703	2	1	-	-
704	2	1	-	-
705	2	1	-	-
706	2	1	-	-
707	2	1	-	-
708	2	2	match	match
709	3	2	-	-
710	2	1	-	-
711	6	4	-	-
712	10	8	-	-
713	10	9	-	-
714	4	3	-	-
715	3	1	-	-
716	4	3	-	-
717	3	2	-	-
718	4	1	-	-
719	4	3	-	-
720	5	4	-	-
721	2	1	-	-
722	3	2	-	-
723	3	2	-	-
724	6	5	-	-
725	28	22	-	-
726	2	1	-	-
727	2	1	-	-
728	2	1	-	-
729	3	2	-	-
730	3	2	-	-
731	5	4	-	-
732	3	2	-	-
733	2	1	-	-
734	3	2	-	-
735	3	2	-	-
736	4	3	-	-
737	3	2	-	-
738	2	1	-	-
739	2	1	-	-
740	2	0	-	-
741	2	2	match	-
742	3	2	-	-
743	2	2	match	-
744	2	2	match	match
745	2	1	-	-
746	4	4	match	-
747	2	0	-	-
748	2	1	-	-
749	2	1	-	-
750	3	2	-	-
751	2	1	-	-
752	2	1	-	-
753	2	1	-	-
754	3	2	-	-
755	2	1	-	-
756	2	1	-	-
757	4	3	-	-
758	30	27	-	-
759	2	1	-	-
760	4	3	-	-
761	5	5	match	-
762	3	2	-	-
763	3	2	-	-
764	38	32	-	-
765	10	9	-	-
766	13	12	-	-
767	2	1	-	-
768	2	1	-	-
769	9	8	-	-
770	6	5	-	-
771	3	1	-	-
772	3	2	-	-
773	2	1	-	-
774	2	1	-	-
775	2	0	-	-
776	2	1	-	-
777	3	3	match	match
778	2	1	-	-
779	4	3	-	-
780	6	5	-	-
781	5	4	-	-
782	2	1	-	-
783	2	1	-	-
784	2	1	-	-
785	2	1	-	-
786	14	12	-	-
787	3	2	-	-
788	3	2	-	-
789	2	1	-	-
790	3	2	-	-
791	2	1	-	-
792	3	2	-	-
793	5	4	-	-
794	2	1	-	-
795	2	1	-	-
796	3	1	-	-
797	3	2	-	-
798	7	6	-	-
799	4	3	-	-
800	10	9	-	-
801	2	1	-	-
802	6	5	-	-
803	2	1	-	-
804	2	2	match	match
805	2	1	-	-
806	3	1	-	-
807	5	4	-	-
808	3	2	-	-
809	3	2	-	-
810	4	3	-	-
811	2	1	-	-
812	2	1	-	-
813	2	1	-	-
814	2	1	-	-
815	2	1	-	-
816	2	1	-	-
817	2	1	-	-
818	2	1	-	-
819	4	4	match	-
820	3	2	-	-
821	9	8	-	-
822	3	2	-	-
823	2	1	-	-
824	4	3	-	-
825	3	1	-	-
826	22	21	-	-
827	8	5	-	-
828	2	1	-	-
829	2	1	-	-
830	2	1	-	-
831	2	1	-	-
832	2	1	-	-
833	3	2	-	-
834	2	1	-	-
835	2	1	-	-
836	2	2	match	match
837	3	3	match	-
838	4	2	-	-
839	3	3	match	match
840	3	3	match	-
841	2	1	-	-
842	2	1	-	-
843	2	2	match	-
844	2	1	-	-
845	2	1	-	-
846	6	3	-	-
847	4	4	match	match
848	2	1	-	-
849	3	2	-	-
850	2	1	-	-
851	2	0	-	-
852	2	1	-	-
853	3	2	-	-
854	4	3	-	-
855	2	1	-	-
856	2	2	match	match
857	9	7	-	-
858	3	2	-	-
859	2	1	-	-
860	3	2	-	-
861	3	2	-	-
862	2	1	-	-
863	2	1	-	-
864	3	3	match	-
865	2	1	-	-
866	2	1	-	-
867	6	5	-	-
868	7	6	-	-
869	4	3	-	-
870	2	1	-	-
871	5	4	-	-
872	5	2	-	-
873	2	1	-	-
874	3	2	-	-
875	2	2	match	-
876	7	7	match	-
877	2	1	-	-
878	6	5	-	-
879	3	2	-	-
880	4	3	-	-
881	2	2	match	-
882	2	1	-	-
883	4	3	-	-
884	7	5	-	-
885	13	13	match	-
886	5	4	-	-
887	13	12	-	-
888	2	2	match	-
889	2	1	-	-
890	2	1	-	-
891	2	0	-	-
892	6	6	match	-
893	9	8	-	-
894	8	7	-	-
895	3	2	-	-
896	2	1	-	-
897	2	2	match	-
898	7	6	-	-
899	2	1	-	-
900	3	2	-	-
901	3	2	-	-
902	2	1	-	-
903	2	0	-	-
904	3	2	-	-
905	2	1	-	-
906	2	2	match	-
907	9	9	match	-
908	8	6	-	-
909	12	9	-	-
910	2	2	match	-
911	2	1	-	-
912	5	3	-	-
913	2	1	-	-
914	3	2	-	-
915	2	2	match	-
916	3	2	-	-
917	4	3	-	-
918	3	2	-	-
919	3	2	-	-
920	2	1	-	-
921	8	8	match	-
922	3	2	-	-
923	2	1	-	-
924	2	1	-	-
925	2	0	-	-
926	3	2	-	-
927	2	1	-	-
928	2	1	-	-
929	2	1	-	-
930	3	2	-	-
931	2	1	-	-
932	2	1	-	-
933	2	1	-	-
934	5	4	-	-
935	18	14	-	-
936	4	3	-	-
937	2	1	-	-
938	2	1	-	-
939	2	1	-	-
940	9	9	match	match
941	5	4	-	-
942	3	2	-	-
943	3	3	match	match
944	2	1	-	-
945	3	2	-	-
946	2	0	-	-
947	2	0	-	-
948	2	1	-	-
949	2	1	-	-
950	3	2	-	-
951	2	1	-	-
952	3	2	-	-
953	4	3	-	-
954	3	2	-	-
955	22	18	-	-
956	4	3	-	-
957	2	1	-	-
958	2	2	match	match
959	3	3	match	-
960	2	1	-	-
961	2	1	-	-
962	4	4	match	-
963	2	1	-	-
964	4	3	-	-
965	29	27	-	-
966	16	15	-	-
967	2	1	-	-
968	2	1	-	-
969	3	2	-	-
970	2	1	-	-
971	2	2	match	-
972	21	20	-	-
973	3	1	-	-
974	5	4	-	-
975	3	3	match	-
976	7	6	-	-
977	3	2	-	-
978	7	6	-	-
979	3	2	-	-
980	5	4	-	-
981	5	4	-	-
982	2	2	match	match
983	4	3	-	-
984	2	2	match	-
985	2	1	-	-
986	2	1	-	-
987	2	1	-	-
988	2	1	-	-
989	2	1	-	-
990	3	2	-	-
991	3	2	-	-
992	2	1	-	-
993	2	1	-	-
994	3	2	-	-
995	7	6	-	-
996	2	1	-	-
997	6	5	-	-
998	2	1	-	-
999	2	1	-	-
1000	2	1	-	-
1001	2	0	-	-
1002	2	1	-	-
1003	4	3	-	-
1004	2	1	-	-
1005	3	0	-	-
1006	3	2	-	-
1007	2	1	-	-
1008	3	2	-	-
1009	3	3	match	-
1010	3	2	-	-
1011	2	1	-	-
1012	6	5	-	-
1013	3	2	-	-
1014	2	1	-	-
1015	2	1	-	-
1016	4	2	-	-
1017	4	3	-	-
1018	3	2	-	-
1019	3	2	-	-
1020	2	1	-	-
1021	3	2	-	-
1022	4	2	-	-
1023	2	1	-	-
1024	2	1	-	-
1025	2	1	-	-
1026	4	3	-	-
1027	2	1	-	-
1028	3	2	-	-
1029	4	2	-	-
1030	4	3	-	-
1031	4	2	-	-
1032	2	1	-	-
1033	3	2	-	-
1034	4	3	-	-
1035	3	2	-	-
1036	3	2	-	-
1037	2	2	match	match
1038	3	2	-	-
1039	3	1	-	-
1040	2	2	match	match
1041	2	2	match	match
1042	3	2	-	-
1043	2	1	-	-
1044	2	1	-	-
1045	2	1	-	-
1046	2	1	-	-
1047	2	1	-	-
1048	3	2	-	-
1049	3	2	-	-
1050	2	1	-	-
1051	2	1	-	-
1052	8	7	-	-
1053	2	2	match	match
1054	3	2	-	-
1055	2	1	-	-
1056	2	1	-	-
1057	2	2	match	-
1058	3	1	-	-
1059	3	2	-	-
1060	3	2	-	-
1061	4	3	-	-
1062	3	2	-	-
1063	2	0	-	-
1064	2	2	match	match
1065	3	2	-	-
1066	2	1	-	-
1067	4	3	-	-
1068	4	3	-	-
1069	5	3	-	-
1070	2	1	-	-
1071	7	4	-	-
1072	3	2	-	-
1073	2	1	-	-
1074	2	1	-	-
1075	4	3	-	-
1076	9	8	-	-
1077	2	2	match	-
1078	3	2	-	-
1079	2	1	-	-
1080	5	4	-	-
1081	3	2	-	-
1082	4	3	-	-
1083	8	6	-	-
1084	3	1	-	-
1085	3	2	-	-
1086	2	1	-	-
1087	2	1	-	-
1088	3	2	-	-
1089	8	7	-	-
1090	2	1	-	-
1091	2	1	-	-
1092	2	2	match	-
1093	2	1	-	-
1094	2	1	-	-
1095	3	3	match	-
1096	3	2	-	-
1097	2	1	-	-
1098	4	4	match	match
1099	8	7	-	-
1100	4	4	match	-
1101	4	3	-	-
1102	9	9	match	-
1103	3	1	-	-
1104	2	1	-	-
1105	3	2	-	-
1106	2	1	-	-
1107	2	0	-	-
1108	2	1	-	-
1109	3	2	-	-
1110	5	4	-	-
1111	2	1	-	-
1112	5	3	-	-
1113	3	3	match	-
1114	2	1	-	-
1115	7	6	-	-
1116	8	7	-	-
1117	2	1	-	-
1118	2	1	-	-
1119	4	4	match	-
1120	4	3	-	-
1121	3	2	-	-
1122	2	1	-	-
1123	2	1	-	-
1124	2	1	-	-
1125	8	7	-	-
1126	2	1	-	-
1127	3	2	-	-
1128	5	4	-	-
1129	2	1	-	-
1130	7	7	match	-
1131	5	4	-	-
1132	4	3	-	-
1133	2	1	-	-
1134	3	2	-	-
1135	3	2	-	-
1136	9	8	-	-
1137	2	1	-	-
1138	2	1	-	-
1139	3	2	-	-
1140	3	2	-	-
1141	2	1	-	-
1142	2	1	-	-
1143	5	4	-	-
1144	2	1	-	-
1145	2	1	-	-
1146	2	1	-	-
1147	3	2	-	-
1148	3	3	match	-
1149	7	6	-	-
1150	13	13	match	-
1151	2	1	-	-
1152	5	2	-	-
1153	4	3	-	-
1154	2	1	-	-
1155	2	1	-	-
1156	2	1	-	-
1157	2	1	-	-
1158	2	1	-	-
1159	4	3	-	-
1160	3	3	match	-
1161	6	5	-	-
1162	2	1	-	-
1163	2	1	-	-
1164	2	2	match	match
1165	4	3	-	-
1166	2	1	-	-
1167	4	4	match	-
1168	7	6	-	-
1169	4	3	-	-
1170	3	2	-	-
1171	2	1	-	-
1172	2	0	-	-
1173	2	1	-	-
1174	2	1	-	-
1175	2	2	match	-
1176	2	1	-	-
1177	5	4	-	-
1178	2	1	-	-
1179	3	2	-	-
1180	2	0	-	-
1181	6	5	-	-
1182	6	4	-	-
1183	2	2	match	-
1184	2	1	-	-
1185	2	0	-	-
1186	2	1	-	-
1187	2	1	-	-
1188	2	1	-	-
1189	5	4	-	-
1190	2	1	-	-
1191	2	1	-	-
1192	5	3	-	-
1193	2	1	-	-
1194	8	6	-	-
1195	2	1	-	-
1196	6	5	-	-
1197	2	2	match	-
1198	2	1	-	-
1199	3	2	-	-
1200	3	2	-	-
1201	2	1	-	-
1202	2	1	-	-
1203	2	1	-	-
1204	2	1	-	-
1205	2	1	-	-
1206	6	5	-	-
1207	2	1	-	-
1208	2	1	-	-
1209	2	1	-	-
1210	4	3	-	-
1211	2	1	-	-
1212	4	4	match	-
1213	5	4	-	-
1214	2	1	-	-
1215	2	1	-	-
1216	2	1	-	-
1217	7	4	-	-
1218	2	1	-	-
1219	3	2	-	-
1220	2	1	-	-
1221	2	1	-	-
1222	2	1	-	-
1223	2	2	match	-
1224	2	1	-	-
1225	2	1	-	-
1226	3	2	-	-
1227	2	2	match	match
1228	2	1	-	-
1229	2	1	-	-
1230	2	1	-	-
1231	2	0	-	-
1232	2	1	-	-
1233	2	1	-	-
1234	2	1	-	-
1235	2	1	-	-
1236	2	1	-	-
1237	2	0	-	-
1238	2	1	-	-
1239	6	5	-	-
1240	3	2	-	-
1241	3	2	-	-
1242	6	5	-	-
1243	2	1	-	-
1244	2	1	-	-
1245	2	1	-	-
1246	7	6	-	-
1247	2	2	match	-
1248	2	1	-	-
1249	2	1	-	-
1250	2	1	-	-
1251	3	2	-	-
1252	2	1	-	-
1253	2	2	match	-
1254	2	1	-	-
1255	2	1	-	-
1256	2	1	-	-
1257	3	3	match	match
1258	2	1	-	-
1259	2	1	-	-
1260	2	1	-	-
1261	3	2	-	-
1262	2	1	-	-
