Block	CountA	CountB	SNVs	Haplotype
424	2	2	match	-
425	2	1	-	-
426	3	2	-	-
427	2	1	-	-
428	2	1	-	-
429	2	1	-	-
430	3	2	-	-
431	6	4	-	-
432	2	1	-	-
433	2	1	-	-
434	4	4	match	-
435	2	1	-	-
436	2	2	match	-
437	2	1	-	-
438	2	1	-	-
439	2	2	match	-
440	4	3	-	-
441	3	2	-	-
442	4	3	-	-
443	3	2	-	-
444	2	1	-	-
445	2	1	-	-
446	5	4	-	-
447	3	3	match	-
448	4	3	-	-
449	5	5	match	-
450	2	1	-	-
451	10	8	-	-
452	2	2	match	match
453	3	2	-	-
454	3	3	match	match
455	2	1	-	-
456	2	1	-	-
457	2	1	-	-
458	2	1	-	-
459	3	2	-	-
460	2	1	-	-
461	2	1	-	-
462	2	2	match	-
463	2	0	-	-
464	2	1	-	-
465	2	1	-	-
466	2	1	-	-
467	5	5	match	match
468	3	2	-	-
469	3	2	-	-
470	3	2	-	-
471	2	1	-	-
472	2	1	-	-
473	2	1	-	-
474	14	13	-	-
475	6	5	-	-
476	2	1	-	-
477	2	1	-	-
478	2	1	-	-
479	3	2	-	-
480	2	2	match	match
481	2	1	-	-
482	5	4	-	-
483	2	1	-	-
484	3	3	match	-
485	2	1	-	-
486	2	1	-	-
487	2	2	match	match
488	2	1	-	-
489	2	2	match	-
490	3	2	-	-
491	2	1	-	-
492	2	1	-	-
493	6	5	-	-
494	2	1	-	-
495	3	3	match	match
496	2	1	-	-
497	6	5	-	-
498	2	1	-	-
499	3	3	match	-
500	2	1	-	-
501	2	1	-	-
502	8	6	-	-
503	3	3	match	-
504	4	3	-	-
505	2	1	-	-
506	3	2	-	-
507	2	0	-	-
508	2	1	-	-
509	2	1	-	-
510	4	2	-	-
511	4	3	-	-
512	5	5	match	match
513	2	1	-	-
514	5	5	match	-
515	2	1	-	-
516	5	3	-	-
517	2	1	-	-
518	2	1	-	-
519	3	2	-	-
520	3	2	-	-
521	3	2	-	-
522	2	1	-	-
523	2	1	-	-
524	2	1	-	-
525	3	3	match	-
526	3	2	-	-
527	2	2	match	-
528	2	2	match	match
529	2	1	-	-
530	8	6	-	-
531	2	1	-	-
532	2	1	-	-
533	10	7	-	-
534	2	1	-	-
535	3	2	-	-
536	2	1	-	-
537	2	1	-	-
538	2	1	-	-
539	2	1	-	-
540	2	1	-	-
541	7	6	-	-
542	6	5	-	-
543	3	1	-	-
544	7	6	-	-
545	4	3	-	-
546	6	5	-	-
547	2	1	-	-
548	2	1	-	-
549	2	1	-	-
550	4	3	-	-
551	2	2	match	-
552	2	1	-	-
553	2	1	-	-
554	3	2	-	-
555	2	1	-	-
556	2	2	match	-
557	3	3	match	match
558	2	2	match	-
559	3	2	-	-
560	3	3	match	match
561	2	1	-	-
562	2	1	-	-
563	2	1	-	-
564	2	1	-	-
565	2	1	-	-
566	2	1	-	-
567	3	3	match	-
568	2	1	-	-
569	2	1	-	-
570	2	1	-	-
571	2	2	match	-
572	2	1	-	-
573	2	1	-	-
574	2	1	-	-
575	3	2	-	-
576	5	4	-	-
577	2	1	-	-
578	2	1	-	-
579	2	1	-	-
580	2	2	match	-
581	3	2	-	-
582	2	2	match	-
583	2	1	-	-
584	11	10	-	-
585	2	2	match	-
586	4	3	-	-
587	3	2	-	-
588	3	2	-	-
589	2	2	match	match
590	2	2	match	-
591	2	2	match	-
592	4	4	match	match
593	5	4	-	-
594	4	4	match	-
595	2	2	match	match
596	2	2	match	match
597	2	1	-	-
598	2	2	match	-
599	2	2	match	-
600	4	2	-	-
601	11	9	-	-
602	3	2	-	-
603	2	1	-	-
604	2	2	match	-
605	2	1	-	-
606	4	4	match	match
607	3	2	-	-
608	2	1	-	-
609	2	1	-	-
610	2	1	-	-
611	2	1	-	-
612	2	1	-	-
613	3	2	-	-
