Block	CountA	CountB	SNVs	Haplotype
2579	3	0	-	-
2580	2	0	-	-
2581	3	2	-	-
2582	7	4	-	-
2583	4	0	-	-
2584	86	55	-	-
2585	23	14	-	-
2586	6	0	-	-
2587	2	0	-	-
2588	45	31	-	-
2589	3	3	match	match
2590	8	4	-	-
2591	2	0	-	-
2592	3	0	-	-
2593	71	40	-	-
2594	193	125	-	-
2595	15	12	-	-
2596	13	13	match	-
2597	530	385	-	-
2598	2	2	match	match
2599	2	0	-	-
2600	2	2	match	match
2601	2	2	match	match
2602	2	2	match	match
2603	15	13	-	-
2604	63	59	-	-
2605	3	2	-	-
2606	6	6	match	match
2607	9	6	-	-
2608	2	2	match	match
2609	2	2	match	match
2610	3	3	match	match
2611	3	0	-	-
2612	2	0	-	-
2613	5	3	-	-
2614	2	2	match	match
2615	9	6	-	-
2616	6	6	match	match
2617	3	2	-	-
2618	7	7	match	match
2619	5	0	-	-
2620	4	3	-	-
2621	40	38	-	-
2622	28	19	-	-
2623	2	0	-	-
2624	2	2	match	match
2625	2	2	match	match
2626	2	2	match	match
2627	14	14	match	-
2628	7	7	match	-
2629	6	5	-	-
2630	24	22	-	-
2631	2	2	match	match
2632	5194	4693	-	-
2633	7	6	-	-
2634	2	2	match	match
2635	3	2	-	-
2636	11	8	-	-
2637	5	4	-	-
2638	35	35	match	-
2639	4	4	match	match
2640	3	3	match	match
2641	63	52	-	-
2642	9	9	match	match
2643	5	5	match	match
2644	5	5	match	match
2645	5	5	match	match
2646	2	2	match	match
2647	4	4	match	match
2648	15	14	-	-
2649	7	7	match	match
2650	2	2	match	match
2651	2	2	match	match
2652	6	6	match	match
2653	2	2	match	match
2654	4	4	match	match
2655	2	0	-	-
2656	10	8	-	-
2657	4	4	match	match
2658	4	4	match	match
2659	2	2	match	match
2660	3	3	match	match
2661	6	4	-	-
2662	5	5	match	match
2663	3	3	match	match
2664	2	0	-	-
2665	2	2	match	match
2666	3	0	-	-
2667	2	2	match	match
2668	6	5	-	-
2669	15	13	-	-
2670	2	2	match	match
2671	19	16	-	-
2672	5	4	-	-
2673	10	10	match	match
2674	8	5	-	-
2675	4	4	match	match
2676	22	20	-	-
2677	5	5	match	match
2678	40	38	-	-
2679	3	3	match	match
2680	10	10	match	match
2681	3	3	match	match
2682	2	2	match	match
2683	4	4	match	match
2684	3	3	match	match
2685	4	4	match	match
2686	6	6	match	match
2687	4	0	-	-
2688	66	35	-	-
2689	16	9	-	-
2690	5	5	match	match
2691	2	0	-	-
2692	2	0	-	-
2693	3	3	match	match
2694	3	3	match	match
2695	3	3	match	match
2696	4	4	match	match
2697	93	57	-	-
2698	2	2	match	match
2699	3	0	-	-
2700	4	3	-	-
2701	4	4	match	match
2702	3	2	-	-
2703	2	0	-	-
2704	7	0	-	-
2705	3	2	-	-
2706	3	0	-	-
2707	22	6	-	-
2708	4	2	-	-
2709	3	3	match	match
2710	8	2	-	-
2711	3	0	-	-
2712	10	8	-	-
2713	4	3	-	-
2714	215	127	-	-
2715	3	3	match	match
2716	11	9	-	-
2717	73	34	-	-
2718	2	0	-	-
2719	2	2	match	match
2720	3	0	-	-
2721	3	2	-	-
2722	6	0	-	-
2723	5	2	-	-
2724	2	2	match	match
2725	2	2	match	match
2726	3	0	-	-
2727	61	28	-	-
2728	4	2	-	-
2729	2	2	match	match
2730	5	4	-	-
2731	74	34	-	-
2732	50	25	-	-
2733	43	16	-	-
2734	2	2	match	match
2735	43	27	-	-
2736	2	0	-	-
2737	2	2	match	match
2738	2	2	match	match
2739	2	2	match	match
2740	6	3	-	-
2741	69	36	-	-
2742	2	2	match	match
2743	3	2	-	-
2744	33	17	-	-
2745	2	0	-	-
2746	4	4	match	-
2747	268	194	-	-
2748	2	0	-	-
2749	3	0	-	-
2750	585	425	-	-
2751	4	3	-	-
2752	2	2	match	match
2753	108	68	-	-
2754	42	29	-	-
2755	2	2	match	match
2756	5	2	-	-
2757	26	20	-	-
2758	2	0	-	-
2759	2	0	-	-
2760	6	6	match	match
2761	3	3	match	match
2762	2	2	match	match
2763	2	2	match	match
2764	41	22	-	-
2765	3	2	-	-
2766	4	4	match	match
2767	3	2	-	-
2768	4	4	match	match
2769	3	3	match	match
